DATE,Employment_rate
01-01-1948,58.6
01-02-1948,58.9
01-03-1948,58.5
01-04-1948,59
01-05-1948,58.3
01-06-1948,59.2
01-07-1948,59.3
01-08-1948,58.9
01-09-1948,58.9
01-10-1948,58.7
01-11-1948,58.7
01-12-1948,59.1
01-01-1949,58.7
01-02-1949,59
01-03-1949,58.9
01-04-1949,58.8
01-05-1949,59
01-06-1949,58.6
01-07-1949,58.9
01-08-1949,59.2
01-09-1949,59.1
01-10-1949,59.6
01-11-1949,59.4
01-12-1949,59.2
01-01-1950,58.9
01-02-1950,58.9
01-03-1950,58.8
01-04-1950,59.2
01-05-1950,59.1
01-06-1950,59.4
01-07-1950,59.1
01-08-1950,59.5
01-09-1950,59.2
01-10-1950,59.4
01-11-1950,59.3
01-12-1950,59.2
01-01-1951,59.1
01-02-1951,59.1
01-03-1951,59.8
01-04-1951,59.1
01-05-1951,59.4
01-06-1951,59
01-07-1951,59.4
01-08-1951,59.2
01-09-1951,59.1
01-10-1951,59.4
01-11-1951,59.2
01-12-1951,59.6
01-01-1952,59.5
01-02-1952,59.5
01-03-1952,58.9
01-04-1952,58.8
01-05-1952,59.1
01-06-1952,59.1
01-07-1952,58.9
01-08-1952,58.7
01-09-1952,59.2
01-10-1952,58.7
01-11-1952,59.1
01-12-1952,59.2
01-01-1953,59.5
01-02-1953,59.5
01-03-1953,59.6
01-04-1953,59.1
01-05-1953,58.6
01-06-1953,58.9
01-07-1953,58.9
01-08-1953,58.6
01-09-1953,58.5
01-10-1953,58.5
01-11-1953,58.6
01-12-1953,58.3
01-01-1954,58.6
01-02-1954,59.3
01-03-1954,59.1
01-04-1954,59.2
01-05-1954,58.9
01-06-1954,58.5
01-07-1954,58.4
01-08-1954,58.7
01-09-1954,59.2
01-10-1954,58.8
01-11-1954,58.6
01-12-1954,58.1
01-01-1955,58.6
01-02-1955,58.4
01-03-1955,58.5
01-04-1955,59
01-05-1955,58.8
01-06-1955,58.8
01-07-1955,59.3
01-08-1955,59.7
01-09-1955,59.7
01-10-1955,59.8
01-11-1955,59.9
01-12-1955,60.2
01-01-1956,60.2
01-02-1956,59.9
01-03-1956,59.8
01-04-1956,59.9
01-05-1956,60.2
01-06-1956,60.1
01-07-1956,60.1
01-08-1956,60
01-09-1956,60
01-10-1956,59.8
01-11-1956,59.8
01-12-1956,59.8
01-01-1957,59.5
01-02-1957,59.9
01-03-1957,59.8
01-04-1957,59.5
01-05-1957,59.5
01-06-1957,59.8
01-07-1957,60
01-08-1957,59.3
