DATE,Housing_supply
01-01-1963,4.7
01-02-1963,6.6
01-03-1963,6.4
01-04-1963,5.3
01-05-1963,5.1
01-06-1963,6
01-07-1963,4.6
01-08-1963,5.6
01-09-1963,5.4
01-10-1963,5.9
01-11-1963,5.5
01-12-1963,6.1
01-01-1964,5.8
01-02-1964,5.5
01-03-1964,5.8
01-04-1964,6
01-05-1964,6.2
01-06-1964,5.7
01-07-1964,5.5
01-08-1964,5.4
01-09-1964,5.4
01-10-1964,5.3
01-11-1964,5.6
01-12-1964,5.5
01-01-1965,5.6
01-02-1965,5.5
01-03-1965,5.4
01-04-1965,5.6
01-05-1965,5.3
01-06-1965,4.7
01-07-1965,5.2
01-08-1965,4.6
01-09-1965,4.9
01-10-1965,5
01-11-1965,4.6
01-12-1965,4.4
01-01-1966,4.7
01-02-1966,4.9
01-03-1966,5
01-04-1966,5.1
01-05-1966,5.3
01-06-1966,6
01-07-1966,5.9
01-08-1966,6.8
01-09-1966,7.2
01-10-1966,6.3
01-11-1966,6.2
01-12-1966,6.3
01-01-1967,5.7
01-02-1967,5.7
01-03-1967,5.4
01-04-1967,4.9
01-05-1967,4.5
01-06-1967,4.6
01-07-1967,4.4
01-08-1967,4.4
01-09-1967,4.3
01-10-1967,4.1
01-11-1967,4.6
01-12-1967,4.7
01-01-1968,4.7
01-02-1968,4.1
01-03-1968,4.8
01-04-1968,4.9
01-05-1968,5.5
01-06-1968,5.5
01-07-1968,5.1
01-08-1968,5
01-09-1968,5.1
01-10-1968,5.2
01-11-1968,5.6
01-12-1968,5.2
01-01-1969,5.5
01-02-1969,4.9
01-03-1969,5.7
01-04-1969,6
01-05-1969,6.1
01-06-1969,5.8
01-07-1969,6.3
01-08-1969,6.5
01-09-1969,6.9
01-10-1969,7
01-11-1969,6.2
01-12-1969,6.1
01-01-1970,5.5
01-02-1970,7.2
01-03-1970,6.8
01-04-1970,6
01-05-1970,5.7
01-06-1970,5.5
01-07-1970,5.4
01-08-1970,5.1
01-09-1970,4.7
01-10-1970,4.8
01-11-1970,4.6
01-12-1970,4.7
01-01-1971,4.3
01-02-1971,4.4
01-03-1971,4
01-04-1971,4.2
01-05-1971,4.6
01-06-1971,4.7
01-07-1971,4.1
01-08-1971,4.7
01-09-1971,5.2
01-10-1971,5
01-11-1971,4.9
01-12-1971,5.1
01-01-1972,5.2
01-02-1972,5.4
01-03-1972,6.1
01-04-1972,5.8
01-05-1972,6.1
01-06-1972,6.3
01-07-1972,6.3
01-08-1972,6
01-09-1972,6.2
01-10-1972,5.7
01-11-1972,6.8
01-12-1972,6.5
01-01-1973,6.5
01-02-1973,6.8
01-03-1973,7
01-04-1973,7.7
01-05-1973,7.5
01-06-1973,7.8
01-07-1973,8.7
01-08-1973,9.4
01-09-1973,9.5
01-10-1973,9.4
01-11-1973,9.6
01-12-1973,10.1
01-01-1974,9.7
01-02-1974,9.6
01-03-1974,8.8
01-04-1974,9.1
01-05-1974,8
01-06-1974,8.9
01-07-1974,8.8
01-08-1974,9.3
01-09-1974,9.1
01-10-1974,9.8
01-11-1974,9.7
01-12-1974,10.3
01-01-1975,9.9
01-02-1975,10.4
01-03-1975,8.9
01-04-1975,7.2
01-05-1975,6.8
01-06-1975,7.2
01-07-1975,7
01-08-1975,6.8
01-09-1975,7.3
01-10-1975,6.6
01-11-1975,5.8
01-12-1975,5.8
01-01-1976,6.4
01-02-1976,5.9
01-03-1976,6.8
01-04-1976,6.4
01-05-1976,7
01-06-1976,6.9
01-07-1976,6.4
01-08-1976,6.2
01-09-1976,6.2
01-10-1976,5.8
01-11-1976,6
01-12-1976,5.6
01-01-1977,5.3
01-02-1977,5.1
01-03-1977,5
01-04-1977,5.5
01-05-1977,5.4
01-06-1977,5.5
01-07-1977,6.1
01-08-1977,5.8
01-09-1977,5.9
01-10-1977,6.1
01-11-1977,6
01-12-1977,6
01-01-1978,5.9
01-02-1978,6.3
01-03-1978,6.1
01-04-1978,5.8
01-05-1978,5.9
01-06-1978,6.2
01-07-1978,6.6
01-08-1978,6.6
01-09-1978,5.9
01-10-1978,5.7
01-11-1978,6.5
01-12-1978,6.1
01-01-1979,6.6
01-02-1979,6.8
01-03-1979,6.6
01-04-1979,6.8
01-05-1979,7.1
01-06-1979,7.4
01-07-1979,7.1
01-08-1979,6.9
01-09-1979,7.4
01-10-1979,7.4
01-11-1979,8.3
01-12-1979,8.6
01-01-1980,7.9
01-02-1980,8.6
01-03-1980,9.8
01-04-1980,11.6
01-05-1980,9.2
01-06-1980,7.6
01-07-1980,6.5
01-08-1980,6
01-09-1980,7.3
01-10-1980,7.3
01-11-1980,7.4
01-12-1980,7.6
01-01-1981,8
01-02-1981,8.1
01-03-1981,7.7
01-04-1981,8.6
01-05-1981,8.4
01-06-1981,9.2
01-07-1981,9
01-08-1981,9.8
01-09-1981,11.3
01-10-1981,10.3
01-11-1981,9.1
01-12-1981,7.1
01-01-1982,8.9
01-02-1982,9.2
01-03-1982,8.7
01-04-1982,9.4
01-05-1982,8.3
01-06-1982,8.3
